source,src_state,src_district,district_code,lgd_district,lgd_state,method,score
PMJAY,HIMACHAL PRADESH,BILASPUR,15,Bilaspur,Himachal Pradesh,exact_state,100
PMJAY,HIMACHAL PRADESH,CHAMBA,16,Chamba,Himachal Pradesh,exact_state,100
PMJAY,HIMACHAL PRADESH,HAMIRPUR,17,Hamirpur,Himachal Pradesh,exact_state,100
PMJAY,HIMACHAL PRADESH,KANGRA,18,Kangra,Himachal Pradesh,exact_state,100
PMJAY,HIMACHAL PRADESH,KINNAUR,19,Kinnaur,Himachal Pradesh,exact_state,100
PMJAY,HIMACHAL PRADESH,KULLU,20,Kullu,Himachal Pradesh,exact_state,100
PMJAY,HIMACHAL PRADESH,Lahul & Spiti,21,Lahaul And Spiti,Himachal Pradesh,alias_exact,100
PMJAY,HIMACHAL PRADESH,MANDI,22,Mandi,Himachal Pradesh,exact_state,100
PMJAY,HIMACHAL PRADESH,SHIMLA,23,Shimla,Himachal Pradesh,exact_state,100
PMJAY,HIMACHAL PRADESH,SIRMAUR,24,Sirmaur,Himachal Pradesh,exact_state,100
PMJAY,HIMACHAL PRADESH,SOLAN,25,Solan,Himachal Pradesh,exact_state,100
PMJAY,HIMACHAL PRADESH,UNA,26,Una,Himachal Pradesh,exact_state,100
PMJAY,JAMMU AND KASHMIR,Ananthnag,1,Anantnag,Jammu And Kashmir,fuzzy_state,94
PMJAY,JAMMU AND KASHMIR,BARAMULLA,3,Baramulla,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,Bandipur,623,Bandipora,Jammu And Kashmir,alias_exact,100
PMJAY,JAMMU AND KASHMIR,Budgam,2,Budgam,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,DODA,4,Doda,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,GANDERBAL,626,Ganderbal,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,JAMMU,5,Jammu,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,KATHUA,7,Kathua,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,KISHTWAR,620,Kishtwar,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,KULGAM,622,Kulgam,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,KUPWARA,8,Kupwara,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,POONCH,10,Poonch,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,PULWAMA,11,Pulwama,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,RAJAURI,12,Rajouri,Jammu And Kashmir,alias_exact,100
PMJAY,JAMMU AND KASHMIR,RAMBAN,621,Ramban,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,REASI,627,Reasi,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,SAMBA,624,Samba,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,SHOPIAN,625,Shopian,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,SRINAGAR,13,Srinagar,Jammu And Kashmir,exact_state,100
PMJAY,JAMMU AND KASHMIR,UDHAMPUR,14,Udhampur,Jammu And Kashmir,exact_state,100
PMJAY,JHARKHAND,BOKARO,322,Bokaro,Jharkhand,exact_state,100
PMJAY,JHARKHAND,CHATRA,323,Chatra,Jharkhand,exact_state,100
PMJAY,JHARKHAND,DEOGHAR,324,Deoghar,Jharkhand,exact_state,100
PMJAY,JHARKHAND,DHANBAD,325,Dhanbad,Jharkhand,exact_state,100
PMJAY,JHARKHAND,DUMKA,326,Dumka,Jharkhand,exact_state,100
PMJAY,JHARKHAND,East Singhbhum,327,East Singhbum,Jharkhand,alias_exact,100
PMJAY,JHARKHAND,GARHWA,328,Garhwa,Jharkhand,exact_state,100
PMJAY,JHARKHAND,GODDA,330,Godda,Jharkhand,exact_state,100
PMJAY,JHARKHAND,GUMLA,331,Gumla,Jharkhand,exact_state,100
PMJAY,JHARKHAND,Giridh,329,Giridih,Jharkhand,fuzzy_state,92
PMJAY,JHARKHAND,Hazaribag,332,Hazaribagh,Jharkhand,alias_exact,100
PMJAY,JHARKHAND,JAMTARA,333,Jamtara,Jharkhand,exact_state,100
PMJAY,JHARKHAND,KHUNTI,606,Khunti,Jharkhand,exact_state,100
PMJAY,JHARKHAND,KODERMA,334,Koderma,Jharkhand,exact_state,100
PMJAY,JHARKHAND,LATEHAR,335,Latehar,Jharkhand,exact_state,100
PMJAY,JHARKHAND,LOHARDAGA,336,Lohardaga,Jharkhand,exact_state,100
PMJAY,JHARKHAND,PAKUR,337,Pakur,Jharkhand,exact_state,100
PMJAY,JHARKHAND,Palamau,338,Palamu,Jharkhand,fuzzy_state,92
PMJAY,JHARKHAND,RAMGARH,607,Ramgarh,Jharkhand,exact_state,100
PMJAY,JHARKHAND,RANCHI,339,Ranchi,Jharkhand,exact_state,100
PMJAY,JHARKHAND,SIMDEGA,342,Simdega,Jharkhand,exact_state,100
PMJAY,JHARKHAND,Sahibganj,340,Sahebganj,Jharkhand,alias_exact,100
PMJAY,JHARKHAND,Seraikela Kharsawan,341,Saraikela Kharsawan,Jharkhand,fuzzy_state,94
PMJAY,JHARKHAND,WEST SINGHBHUM,343,West Singhbhum,Jharkhand,exact_state,100
PMJAY,KARNATAKA,BAGALKOTE,524,Bagalkote,Karnataka,exact_state,100
PMJAY,KARNATAKA,BALLARI,528,Ballari,Karnataka,exact_state,100
