shapeID,shapeName,assigned_state,state_method,district_code,resolve_method,resolve_score,frame_name,frame_state
76128533B6397758882978,Navsari,Gujarat,centroid,453,exact_state,100,Navsari,Gujarat
76128533B16476001647323,Panch Mahals,Gujarat,centroid,454,exact_state,100,Panch Mahals,Gujarat
76128533B42839853072341,Patan,Gujarat,centroid,455,exact_state,100,Patan,Gujarat
76128533B84417945851362,Porbandar,Gujarat,centroid,456,exact_state,100,Porbandar,Gujarat
76128533B74992405432705,Rajkot,Gujarat,centroid,457,exact_state,100,Rajkot,Gujarat
76128533B35129325000613,Sabar Kantha,Gujarat,centroid,458,exact_state,100,Sabar Kantha,Gujarat
76128533B97372652494648,Surat,Gujarat,centroid,459,exact_state,100,Surat,Gujarat
76128533B7851306475665,Surendranagar,Gujarat,centroid,460,exact_state,100,Surendranagar,Gujarat
76128533B12519626815499,Tapi,Gujarat,centroid,641,exact_state,100,Tapi,Gujarat
76128533B16271917438029,The Dangs,Gujarat,centroid,444,alias_exact,100,Dangs,Gujarat
76128533B33151011563565,Vadodara,Gujarat,centroid,461,exact_state,100,Vadodara,Gujarat
76128533B60261306484775,Valsad,Gujarat,centroid,462,exact_state,100,Valsad,Gujarat
76128533B95049353851516,Ambala,Haryana,centroid,58,exact_state,100,Ambala,Haryana
76128533B42646400584570,Bhiwani,Haryana,centroid,59,exact_state,100,Bhiwani,Haryana
76128533B40638696154891,Faridabad,Haryana,centroid,60,exact_state,100,Faridabad,Haryana
76128533B10727492375508,Fatehabad,Haryana,centroid,61,exact_state,100,Fatehabad,Haryana
76128533B67580812983244,Gurgaon,Haryana,centroid,62,alias_exact,100,Gurugram,Haryana
76128533B22732185131019,Hisar,Haryana,centroid,63,exact_state,100,Hisar,Haryana
76128533B70554191137208,Jhajjar,Haryana,centroid,64,exact_state,100,Jhajjar,Haryana
76128533B45106682783501,Jind,Haryana,centroid,65,exact_state,100,Jind,Haryana
76128533B64596101949699,Kaithal,Haryana,centroid,66,exact_state,100,Kaithal,Haryana
76128533B6330405394721,Karnal,Haryana,centroid,67,exact_state,100,Karnal,Haryana
76128533B94710820075529,Kurukshetra,Haryana,centroid,68,exact_state,100,Kurukshetra,Haryana
76128533B64161607349718,Mahendragarh,Haryana,centroid,69,exact_state,100,Mahendragarh,Haryana
76128533B80016894369263,Mewat,Haryana,centroid,604,alias_exact,100,Nuh,Haryana
76128533B71088079535368,Palwal,Haryana,centroid,619,exact_state,100,Palwal,Haryana
76128533B58876508630362,Panchkula,Haryana,centroid,70,exact_state,100,Panchkula,Haryana
76128533B86048662040782,Panipat,Haryana,centroid,71,exact_state,100,Panipat,Haryana
76128533B22722327711505,Rewari,Haryana,centroid,72,exact_state,100,Rewari,Haryana
76128533B12244045944458,Rohtak,Haryana,centroid,73,exact_state,100,Rohtak,Haryana
76128533B84837672903805,Sirsa,Haryana,centroid,74,exact_state,100,Sirsa,Haryana
76128533B69536039643660,Sonipat,Haryana,centroid,75,exact_state,100,Sonipat,Haryana
76128533B23956636471502,Yamunanagar,Haryana,centroid,76,exact_state,100,Yamunanagar,Haryana
76128533B85695392289827,Bilaspur,Himachal Pradesh,centroid,15,exact_state,100,Bilaspur,Himachal Pradesh
76128533B58537895532859,Chamba,Himachal Pradesh,centroid,16,exact_state,100,Chamba,Himachal Pradesh
76128533B35956162202704,Hamirpur,Himachal Pradesh,centroid,17,exact_state,100,Hamirpur,Himachal Pradesh
76128533B13697452453823,Kangra,Himachal Pradesh,centroid,18,exact_state,100,Kangra,Himachal Pradesh
76128533B50011981829203,Kinnaur,Himachal Pradesh,centroid,19,exact_state,100,Kinnaur,Himachal Pradesh
76128533B97425778881707,Kullu,Himachal Pradesh,centroid,20,exact_state,100,Kullu,Himachal Pradesh
76128533B75359793481950,Lahul & Spiti,Himachal Pradesh,centroid,21,alias_exact,100,Lahaul And Spiti,Himachal Pradesh
76128533B23735146933631,Mandi,Himachal Pradesh,centroid,22,exact_state,100,Mandi,Himachal Pradesh
76128533B77537928419507,Shimla,Himachal Pradesh,centroid,23,exact_state,100,Shimla,Himachal Pradesh
76128533B11802210119774,Sirmaur,Himachal Pradesh,centroid,24,exact_state,100,Sirmaur,Himachal Pradesh
76128533B58569599021232,Solan,Himachal Pradesh,centroid,25,exact_state,100,Solan,Himachal Pradesh
76128533B75262864015847,Una,Himachal Pradesh,centroid,26,exact_state,100,Una,Himachal Pradesh
76128533B6393836306469,Anantnag,Jammu and Kashmir,centroid,1,exact_state,100,Anantnag,Jammu And Kashmir
76128533B88214376170788,Badgam,Jammu and Kashmir,centroid,2,alias_exact,100,Budgam,Jammu And Kashmir
76128533B41744580856133,Bandipore,Jammu and Kashmir,centroid,623,alias_exact,100,Bandipora,Jammu And Kashmir
76128533B15567489974292,Baramula,Jammu and Kashmir,centroid,3,fuzzy_state,94,Baramulla,Jammu And Kashmir
76128533B48708628358161,Doda,Jammu and Kashmir,centroid,4,exact_state,100,Doda,Jammu And Kashmir
76128533B20504715877560,Ganderbal,Jammu and Kashmir,centroid,626,exact_state,100,Ganderbal,Jammu And Kashmir
76128533B3371867518692,Jammu,Jammu and Kashmir,centroid,5,exact_state,100,Jammu,Jammu And Kashmir
76128533B79652855441225,Kathua,Jammu and Kashmir,centroid,7,exact_state,100,Kathua,Jammu And Kashmir
76128533B20458430922604,Kishtwar,Jammu and Kashmir,centroid,620,exact_state,100,Kishtwar,Jammu And Kashmir
76128533B87327155385261,Kulgam,Jammu and Kashmir,centroid,622,exact_state,100,Kulgam,Jammu And Kashmir
76128533B68195849750399,Kupwara,Jammu and Kashmir,centroid,8,exact_state,100,Kupwara,Jammu And Kashmir
76128533B74958462315105,Pulwama,Jammu and Kashmir,centroid,11,exact_state,100,Pulwama,Jammu And Kashmir
76128533B32998994032811,Punch,Jammu and Kashmir,centroid,10,alias_exact,100,Poonch,Jammu And Kashmir
76128533B45655211862788,Rajouri,Jammu and Kashmir,centroid,12,exact_state,100,Rajouri,Jammu And Kashmir
76128533B92985585225784,Ramban,Jammu and Kashmir,centroid,621,exact_state,100,Ramban,Jammu And Kashmir
76128533B50784044604286,Reasi,Jammu and Kashmir,centroid,627,exact_state,100,Reasi,Jammu And Kashmir
76128533B49429513424897,Samba,Jammu and Kashmir,centroid,624,exact_state,100,Samba,Jammu And Kashmir
76128533B37825396764028,Shupiyan,Jammu and Kashmir,centroid,625,alias_exact,100,Shopian,Jammu And Kashmir
76128533B32249045995424,Srinagar,Jammu and Kashmir,centroid,13,exact_state,100,Srinagar,Jammu And Kashmir
76128533B31127900859310,Udhampur,Jammu and Kashmir,centroid,14,exact_state,100,Udhampur,Jammu And Kashmir
76128533B30016122738302,Bokaro,Jharkhand,centroid,322,exact_state,100,Bokaro,Jharkhand
76128533B44632955875385,Chatra,Jharkhand,centroid,323,exact_state,100,Chatra,Jharkhand
76128533B90068096507942,Deoghar,Jharkhand,centroid,324,exact_state,100,Deoghar,Jharkhand
76128533B94847743365739,Dhanbad,Jharkhand,centroid,325,exact_state,100,Dhanbad,Jharkhand
76128533B18802630191461,Dumka,Jharkhand,centroid,326,exact_state,100,Dumka,Jharkhand
76128533B12294379827032,Garhwa,Jharkhand,centroid,328,exact_state,100,Garhwa,Jharkhand
76128533B75529869544465,Giridih,Jharkhand,centroid,329,exact_state,100,Giridih,Jharkhand
76128533B58697472287618,Godda,Jharkhand,centroid,330,exact_state,100,Godda,Jharkhand
76128533B80916614857890,Gumla,Jharkhand,centroid,331,exact_state,100,Gumla,Jharkhand
76128533B1222571856670,Hazaribagh,Jharkhand,centroid,332,exact_state,100,Hazaribagh,Jharkhand
76128533B17261532861377,Jamtara,Jharkhand,centroid,333,exact_state,100,Jamtara,Jharkhand
76128533B27414563922025,Khunti,Jharkhand,centroid,606,exact_state,100,Khunti,Jharkhand
76128533B43180268042348,Kodarma,Jharkhand,centroid,334,alias_exact,100,Koderma,Jharkhand
76128533B35143550659673,Latehar,Jharkhand,centroid,335,exact_state,100,Latehar,Jharkhand
76128533B35439951183692,Lohardaga,Jharkhand,centroid,336,exact_state,100,Lohardaga,Jharkhand
76128533B45381195840581,Pakur,Jharkhand,centroid,337,exact_state,100,Pakur,Jharkhand
76128533B6050540865870,Palamu,Jharkhand,centroid,338,exact_state,100,Palamu,Jharkhand
76128533B60893804631193,Pashchimi Singhbhum,Jharkhand,centroid,343,alias_exact,100,West Singhbhum,Jharkhand
