hospital_ref,district_code,state,hospital_type,basic_tier,specialties
HOSP-11192,383,CHHATTISGARH,Private(For Profit),False,emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|neonatal|neurosurgery|obgyn|orthopaedics|paediatric_medicine|polytrauma
HOSP-11193,512,TELANGANA,Private(For Profit),False,
HOSP-11194,52,UTTARAKHAND,Private(Not For Profit),False,emergency_room|ent|general_medicine|general_surgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|polytrauma|urology
HOSP-11195,534,KARNATAKA,Private(For Profit),False,cardiology|ctvs|emergency_room|general_medicine|general_surgery|paediatric_cancer
HOSP-11196,244,NAGALAND,Private(For Profit),False,general_medicine|general_surgery|obgyn
HOSP-11197,544,KARNATAKA,Public,True,paediatric_cancer
HOSP-11198,153,UTTAR PRADESH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn|oral_maxillofacial|orthopaedics
HOSP-11199,120,UTTAR PRADESH,Public,False,paediatric_medicine
HOSP-11200,256,MANIPUR,Private(For Profit),False,cardiology|ctvs|emergency_room|general_medicine
HOSP-11201,498,MAHARASHTRA,Public,False,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neurosurgery|obgyn|ophthalmology|orthopaedics|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-11202,524,KARNATAKA,Public,False,
HOSP-11203,550,KARNATAKA,Public,True,
HOSP-11204,146,UTTAR PRADESH,Private(Not For Profit),False,general_surgery|obgyn|orthopaedics
HOSP-11205,140,UTTAR PRADESH,Public,True,general_medicine
HOSP-11206,157,UTTAR PRADESH,Public,True,orthopaedics
HOSP-11207,509,TELANGANA,Private(For Profit),False,
HOSP-11208,507,TELANGANA,Public,False,
HOSP-11209,301,ASSAM,Public,False,burns|emergency_room|ent|general_medicine|general_surgery|medical_oncology|mental_disorders|neonatal|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|plastic_surgery|polytrauma|surgical_oncology|urology
HOSP-11210,643,CHHATTISGARH,Private(For Profit),False,emergency_room|general_medicine
HOSP-11211,502,ANDHRA PRADESH,Private(For Profit),False,
HOSP-11212,644,CHHATTISGARH,Public,True,emergency_room|general_medicine|general_surgery
